proof_effort,n_presentations,n_picked,pick_rate
0,6,2,0.3333
1,11,1,0.0909
2,16,0,0.0
3,30,0,0.0
4,18,0,0.0
5,24,1,0.0417
6,19,1,0.0526
7,18,0,0.0
8,13,0,0.0
9,11,1,0.0909
10,7,1,0.1429
11,4,0,0.0
12,3,0,0.0
13,4,0,0.0
14,3,0,0.0
15,2,0,0.0
16,4,0,0.0
17,3,0,0.0
18,4,0,0.0
19,2,0,0.0
20,2,0,0.0
21,2,0,0.0
22,3,0,0.0
23,2,0,0.0
24,1,1,1.0
25,1,0,0.0
27,1,0,0.0
28,1,0,0.0
31,1,0,0.0
